MCM10,THSD4
7.1587,11.1678
3.127,11.9647
7.321,11.1705
4.4895,11.5711
6.0649,13.1497
7.7053,11.6432
8.1396,12.3061
7.5836,11.5262
6.6056,11.0333
7.1956,11.1858
5.6197,11.1453
4.1539,12.7721
7.3067,10.4654
7.2913,11.6625
5.5517,11.4763
8.2753,11.9107
7.3185,13.8245
7.5957,5.7386
8.2554,11.1104
8.2123,12.0768
8.1683,12.6132
8.6047,11.2487
9.2934,11.5167
6.6938,12.6983
8.7267,11.7216
8.6943,9.4734
7.5248,12.9791
8.6791,8.7232
8.3963,11.0035
8.5933,12.8124
8.6995,12.4055
8.2238,10.7448
7.6691,10.0457
9.0262,12.3416
7.1399,12.6001
5.3835,13.2015
7.869,9.5114
8.507,11.0932
9.0367,11.9944
6.989,9.7268
7.0055,9.9157
